,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1474,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Cetraspora,Cetraspora gilmorei
OTU1475,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,NA,NA
OTU1477,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma,Endoconidioma populi
OTU1478,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,NA,NA,NA
OTU1479,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,NA,Oliveonia,Oliveonia pauxilla
OTU1480,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,NA
OTU1481,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
OTU1482,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,NA,Sistotrema,NA
OTU1483,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1484,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,NA
OTU1485,Stramenopila,Oomycota,Oomycetes,Pythiales,NA,NA,NA
OTU1486,Fungi,NA,NA,NA,NA,NA,NA
OTU1487,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,NA,NA,NA
OTU1488,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,NA
OTU1489,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1490,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1491,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA
OTU1492,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena vulgaris
OTU1493,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1494,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU1495,Fungi,Mucoromycota,Endogonomycetes,Endogonales,NA,NA,NA
OTU1496,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1497,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1498,Fungi,NA,NA,NA,NA,NA,NA
OTU1499,Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,NA
OTU1500,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1501,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Xenochalara,NA
OTU1502,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,NA,NA,NA
OTU1503,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU1504,NA,NA,NA,NA,NA,NA,NA
OTU1505,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1506,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora,NA
OTU1508,Fungi,Kickxellomycota,NA,NA,NA,NA,NA
OTU1509,Fungi,Ascomycota,Leotiomycetes,Thelebolales,NA,NA,NA
OTU1510,NA,NA,NA,NA,NA,NA,NA
OTU1511,NA,NA,NA,NA,NA,NA,NA
OTU1512,Alveolata,Apicomplexa,Coccidia,Eucoccidiorida,NA,NA,NA
OTU1513,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis
OTU1514,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,NA,NA
OTU1515,Fungi,NA,NA,NA,NA,NA,NA
OTU1516,Fungi,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA
OTU1517,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1518,Metazoa,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU1519,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,NA
OTU1520,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1521,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA
OTU1522,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1523,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1524,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
OTU1525,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,NA,NA
OTU1526,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,NA,NA,NA
OTU1527,Fungi,Ascomycota,Orbiliomycetes,NA,NA,NA,NA
OTU1528,Fungi,Ascomycota,Dothideomycetes,Venturiales,NA,NA,NA
OTU1529,Rhizaria,Cercozoa,NA,Thaumatomonadida,NA,NA,NA
OTU1530,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Genolevuria,NA
OTU1531,Fungi,Ascomycota,Sordariomycetes,Hypoceales,NA,NA,NA
OTU1532,Fungi,NA,NA,NA,NA,NA,NA
OTU1533,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1534,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,NA
OTU1535,NA,NA,NA,NA,NA,NA,NA
OTU1536,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1537,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU1538,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU1539,Fungi,Basidiomycota,Microbotryomycetes,NA,NA,NA,NA
OTU1540,Fungi,Mucoromycota,Endogonomycetes,Endogonales,NA,NA,NA
OTU1541,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella fimbricystis
OTU1542,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1543,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Pannariaceae,Fuscopannaria,NA
OTU1544,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1545,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1546,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1547,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovista,Bovista promontorii
OTU1548,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA
OTU1549,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU1550,Fungi,Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA
OTU1551,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
OTU1552,Fungi,Ascomycota,Lecanoromycetes,Trapeliales,Trapeliaceae,Placynthiella,Placynthiella icmalea
OTU1553,Fungi,NA,NA,NA,NA,NA,NA
OTU1554,Fungi,Ascomycota,Dothideomycetes,Venturiales,NA,NA,NA
OTU1555,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU1556,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1557,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cystostereaceae,NA,NA
OTU1558,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU1559,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1560,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA
OTU1561,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1562,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus colostri
OTU1563,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU1564,Metazoa,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU1565,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,NA
OTU1566,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1567,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,NA,NA
OTU1568,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,NA,NA,NA
OTU1569,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1570,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metapochonia,Metapochonia bulbillosa
OTU1571,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU1572,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1573,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1574,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1576,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU1577,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,NA
OTU1578,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla aquaeductuum
OTU1579,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU1580,Fungi,NA,NA,NA,NA,NA,NA
OTU1581,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces,NA
OTU1582,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1583,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Polysporina,NA
OTU1584,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Stypella,Stypella dubia
OTU1585,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovista,Bovista tomentosa
OTU1586,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU1587,Metazoa,Nematoda,Chromadorea,Spirurida,NA,NA,NA
OTU1588,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Limonomyces,NA
OTU1589,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1590,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA
OTU1591,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,Darksidea alpha
OTU1592,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA
OTU1593,NA,NA,NA,NA,NA,NA,NA
OTU1594,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1595,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,NA,NA
OTU1596,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1597,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1598,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,NA
OTU1600,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha minutissima
OTU1601,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1602,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1603,NA,NA,NA,NA,NA,NA,NA
OTU1604,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,NA,NA
OTU1605,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,NA
OTU1606,NA,NA,NA,NA,NA,NA,NA
OTU1607,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,NA
OTU1608,Alveolata,Apicomplexa,Coccidia,Eucoccidiorida,NA,NA,NA
OTU1609,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU1610,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis
OTU1611,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora beticola
OTU1612,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,NA
OTU1613,Metazoa,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
OTU1614,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA
OTU1615,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA
OTU1616,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1617,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,NA,NA,NA
OTU1618,Stramenopila,Oomycota,Oomycetes,Peronosporales,NA,NA,NA
OTU1619,Fungi,Ascomycota,Sordariomycetes,Hypoceales,NA,NA,NA
OTU1620,Fungi,Mucoromycota,Endogonomycetes,Endogonales,NA,NA,NA
OTU1621,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1622,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU1623,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU1624,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA
OTU1625,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA
OTU1626,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1627,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1628,Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,NA,NA,NA
OTU1629,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,NA
OTU1630,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1631,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA
OTU1632,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA
OTU1633,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma pleuroticola
OTU1634,Fungi,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,Phialocephala,NA
OTU1635,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,NA
OTU1636,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania aenea
OTU1637,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,NA,NA
OTU1638,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca melaleuca
OTU1639,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia tardicrescens
OTU1640,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,NA,NA,NA
OTU1641,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA
OTU1642,Fungi,NA,NA,NA,NA,NA,NA
OTU1643,NA,NA,NA,NA,NA,NA,NA
OTU1644,Fungi,Mucoromycota,Endogonomycetes,Endogonales,NA,NA,NA
OTU1645,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Steccherinum,Steccherinum bourdotii
OTU1646,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA
OTU1647,Metazoa,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU1648,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1649,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1650,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1651,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1652,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1653,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1654,Metazoa,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU1655,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1656,NA,NA,NA,NA,NA,NA,NA
OTU1657,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylellina,Dactylellina parvicolle
OTU1658,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1659,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA
OTU1660,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis
OTU1661,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,NA,NA
OTU1662,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1663,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,NA
OTU1664,Rhizaria,Cercozoa,NA,Thaumatomonadida,NA,NA,NA
OTU1665,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU1666,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Collophora,NA
OTU1667,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU1668,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1669,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU1670,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA
OTU1671,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus plagioporus
OTU1672,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1673,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU1674,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
OTU1675,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Hyphodermella,Hyphodermella corrugata
OTU1676,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,NA
OTU1677,Stramenopila,Oomycota,Oomycetes,Peronosporales,NA,NA,NA
OTU1678,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1679,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1680,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,NA,NA,NA
OTU1681,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,NA
OTU1682,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,NA
OTU1683,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU1684,Fungi,Basidiomycota,Wallemiomycetes,NA,NA,NA,NA
OTU1685,Fungi,NA,NA,NA,NA,NA,NA
OTU1686,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
OTU1687,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA
OTU1688,Fungi,NA,NA,NA,NA,NA,NA
OTU1689,Fungi,Basidiomycota,Cystobasidiomycetes,Cyphobasidiales,NA,NA,NA
OTU1690,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,NA,NA
OTU1691,Fungi,Mucoromycota,Endogonomycetes,Endogonales,NA,NA,NA
OTU1692,Fungi,Basidiomycota,Microbotryomycetes,NA,NA,NA,NA
OTU1693,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1694,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus lakei
OTU1695,Alveolata,Apicomplexa,Aconoidasida,NA,NA,NA,NA
OTU1696,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1697,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
OTU1698,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,NA,NA
OTU1699,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyalopeziza,Hyalopeziza nectrioidea
OTU1700,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA
OTU1701,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,NA
OTU1702,Fungi,Basidiomycota,Tremellomycetes,Holtermanniales,NA,Holtermanniella,Holtermanniella wattica
OTU1703,Fungi,Ascomycota,NA,NA,NA,Pulvinella,Pulvinella nolinae
OTU1704,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
OTU1705,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU1706,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA
OTU1707,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha minutissima
OTU1708,Fungi,Ascomycota,Dothideomycetes,Venturiales,NA,NA,NA
OTU1709,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA
OTU1710,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1711,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium carneum
OTU1712,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1713,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis
OTU1714,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Coniosporium,NA
OTU1715,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,NA,NA
OTU1716,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1717,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1718,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus angulatus
OTU1719,Ichthyosporia,NA,Ichthyosporea,Dermocystida,NA,NA,NA
OTU1720,Metazoa,Cnidaria,Anthozoa,Scleractinia,NA,NA,NA
OTU1721,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA
OTU1723,NA,NA,NA,NA,NA,NA,NA
OTU1724,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma aeria
OTU1725,Rhodoplantae,Rhodophyta,Florideophyceae,Gigartinales,NA,NA,NA
OTU1726,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,NA,NA,NA
OTU1727,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1728,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1729,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon evadens
OTU1730,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Leohumicola,NA
OTU1731,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Reticulascaceae,NA,NA
OTU1732,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU1733,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1734,Fungi,Ascomycota,Eurotiomycetes,Coryneliales,NA,NA,NA
OTU1735,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,NA,NA,NA
OTU1736,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,NA,NA,NA
OTU1737,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1738,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,Parastagonospora avenae
OTU1739,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1740,Fungi,Neocallimastigomycota,Neocallimastigomycetes,Neocallimastigales,NA,NA,NA
OTU1741,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,NA,NA
OTU1742,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis
OTU1743,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU1744,Fungi,Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA
OTU1746,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1747,NA,NA,NA,NA,NA,NA,NA
OTU1748,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
OTU1749,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA
OTU1750,Fungi,NA,NA,NA,NA,NA,NA
OTU1751,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA
OTU1752,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1753,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA
OTU1754,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1755,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1756,Metazoa,Cnidaria,Myxosporea,Multivalvulida,NA,NA,NA
OTU1757,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA
OTU1758,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1759,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,NA,NA
OTU1760,Protista,NA,NA,NA,NA,NA,NA
OTU1761,Alveolata,Dinophyta,Dinophyceae,Prorocentrales,NA,NA,NA
OTU1762,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1763,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU1764,Alveolata,Dinophyta,Dinophyceae,Prorocentrales,NA,NA,NA
OTU1765,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,NA,NA
OTU1766,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1768,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU1769,Fungi,Ascomycota,Eurotiomycetes,NA,NA,NA,NA
OTU1770,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU1771,Fungi,NA,NA,NA,NA,NA,NA
OTU1773,Fungi,Glomeromycota,Glomeromycetes,NA,NA,NA,NA
OTU1774,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1775,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1776,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA
OTU1777,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1778,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1779,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU1780,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1782,Fungi,Olpidiomycota,NA,NA,NA,NA,NA
OTU1783,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU1784,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,NA
OTU1785,Fungi,Ascomycota,Orbiliomycetes,NA,NA,NA,NA
OTU1786,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,NA
OTU1787,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA
OTU1788,Fungi,Basidiomycota,Microbotryomycetes,NA,NA,Curvibasidium,Curvibasidium cygneicollum
